Sample	Height	Weight
SE246	60.43450993	94.20023874
X1	99.21145147	11.79958087
X101	68.44346599	25.24248034
X102	75.31330293	33.08465397
X107-1	63.54261403	1.576361034
X113	31.82591577	80.12013511
X114	32.29389638	26.3590336
X117-2	21.18205011	91.5115413
X120	2.220791072	99.72845485
X121	68.57128126	45.34092661
X123	80.22048377	2.195740698
X127	51.72425547	72.48368891
X131	74.67344606	73.42033178
X132	1.753167828	71.00598915
X138	60.80015313	49.16105984
X146	84.76752779	56.28484232
X15	93.64100464	76.28030432
X152	49.7817906	89.95549109
X158	29.64344555	67.35028644
X16	14.41934239	61.74819603
X164	63.39507087	42.29980831
X169	33.02616734	87.57217516
X17	5.445427857	59.31752885
X171	42.08962673	32.88178588
X172	88.84296497	58.38200983
X173	77.09507602	32.70435917
X174	87.30239892	38.41420108
X175	26.87787649	45.53163432
X176	54.64217685	93.51085565
X177	58.02384189	88.8102188
X178	16.79436207	75.2767545
X179	64.58671416	9.298777366
X18	19.82551292	18.25169558
X180	5.072494978	76.96400216
X181	97.10377876	29.64273607
X182	95.31150765	22.52307302
X183	55.05007397	28.34351179
X184	4.91306189	46.18867532
X185	79.71101948	56.55564099
X185-2	56.76280943	19.14587451
X186	26.70568722	16.23755342
X187	34.36710246	65.75392976
X188	47.37875685	90.24916198
X189	66.5810175	94.82272816
X19	86.05670533	36.91694443
X190	9.470266527	52.767474
X191	40.23619122	90.45540123
X192	93.65264279	48.33190636
X193	63.06826552	75.4733213
X194	88.75946902	55.95877868
X195	77.09804009	55.45161055
X196	95.10122817	99.08437536
X197	66.76125462	48.22309779
X198	22.78642948	69.17951423
X199	34.54763071	12.43012305
X20	53.8706623	5.656340844
X200	8.033590015	20.5669142
X201	85.28886687	7.212321182
X202	4.832846077	67.99962075
X203	47.59506996	95.30812783
X204	8.019933298	57.4550304
X205	16.87001219	19.08872098
X206	31.39414301	78.7342149
X207	69.42685836	7.75920217
X208	87.35665941	85.71570071
X209	66.70720561	5.944236289
X210	87.47864143	99.05466799
X211	20.36763459	54.41320289
X212	66.28686951	15.95744402
X214	69.16893914	97.5956171
X215	84.56581344	47.9157425
X216	34.11468072	77.10066208
X217	6.931856138	58.96694633
X218	39.4936964	25.82547812
X219	22.4689614	29.75448724
X22	37.45095207	68.77710334
X220	37.07994808	33.28977495
X221	41.11911107	70.89654722
X223	7.834866858	59.61448081
X224	25.87018876	46.1239485
X225	31.79245591	0.805073181
X226	23.38325582	28.01924836
X227	76.61567467	77.79976684
X228	24.18048298	27.65071039
X229	64.59739396	64.1075074
X230	37.07378958	63.33951942
X231	17.40658067	95.20897598
X232	35.22509804	25.24867024
X233	25.60279877	90.2028446
X234	28.32877406	59.68128086
X235	61.48425425	31.32613728
X236	80.35744116	10.16562004
X237	33.31450989	51.38261047
X238	18.07630365	34.31341434
X239	79.97601357	6.981488198
X24	82.48732993	75.91085511
X241	62.707987	60.88521067
